name_latest,symbol_latest,chain_latest,category_latest,protocol_risk_score_previous,protocol_risk_score_latest,risk_score_change,tvl_previous,tvl_latest,tvl_change_pct,change_1d_latest,change_7d_latest,audits_latest,ingested_at_utc_previous,ingested_at_utc_latest
WBROCK Staking,-,Multi-Chain,Staking Pool,85,85,0,0.0,0.0,,-100.0,-100.0,0.0,20260713T144923Z,20260713T145110Z
Laine SOL,-,Solana,Liquid Staking,80,80,0,931810.0193483767,931810.0193483767,0.0,-65.69592281098097,-66.87900792040065,0.0,20260713T144923Z,20260713T145110Z
world,-,Solana,Prediction Market,80,80,0,278847.85451420856,278847.85451420856,0.0,-39.16793386188384,-73.9120384355492,0.0,20260713T144923Z,20260713T145110Z
VanillaSwap V2,-,DeFiChain EVM,Dexs,80,80,0,85151.47555282837,85151.47555282837,0.0,-28.09973749791726,-87.81863756040417,0.0,20260713T144923Z,20260713T145110Z
EGAS swap,-,ENI,Dexs,80,80,0,47261.906875575514,47261.906875575514,0.0,-24.72274091766505,-45.232259979845566,0.0,20260713T144923Z,20260713T145110Z
Swapline V1,-,Multi-Chain,Dexs,80,80,0,1293.6542601369433,1293.6542601369433,0.0,-47.022275313897886,-47.685625777319416,0.0,20260713T144923Z,20260713T145110Z
Sentre,SNTR,Solana,Dexs,80,80,0,56.17497334442212,56.17497334442212,0.0,-99.53415366291198,-99.54289446460983,0.0,20260713T144923Z,20260713T145110Z
Accumulator,-,ShimmerEVM,Yield Aggregator,80,80,0,4.2713719859717925,4.2713719859717925,0.0,-99.83638610864544,-99.84275063301689,0.0,20260713T144923Z,20260713T145110Z
Billion Happiness,BHC,Multi-Chain,Yield,75,75,0,0.0,0.0,,-100.0,-100.0,2.0,20260713T144923Z,20260713T145110Z
BackedFi,-,Multi-Chain,RWA,70,70,0,4163248.276687339,4163248.276687339,0.0,-32.740696580845096,-47.821570472643714,0.0,20260713T144923Z,20260713T145110Z
